,sentence,correct,tags,trigram,en,es,model_result
0,The firemen arrived ten minutes later.,True,DT NNS VBD CD NNS RB . ,DT NNS VBD,-4.180839933087594,-5.445462672779648,True
1,Arrived the firemen ten minutes later.,False,VBD DT NNS CD NNS RB . ,VBD DT NNS,-2.8784785637099968,-2.0904557741158163,True
2,Yesterday played very well the children.,False,NN VBD RB RB DT NNS . ,DT NNS .,-2.567106990354185,-2.722826070772989,False
3,Played very well the children yesterday.,False,VBN RB RB DT NNS NN . ,VBN RB RB,-1.7961897004464684,-2.4680624491645817,False
4,Yesterday the children played very well.,True,NN DT NNS VBD RB RB . ,DT NNS VBD,-4.180839933087594,-5.445462672779648,True
5,The children played very well yesterday.,True,DT NNS VBD RB RB NN . ,DT NNS VBD,-4.180839933087594,-5.445462672779648,True
6,Often she has helped.,False,RB PRP VBZ VBN . ,RB PRP VBZ,-2.0656967037556178,-0.7093997930448399,True
7,She often has helped.,False,PRP RB VBZ VBN . ,RB VBZ VBN,-3.859102730790732,-2.107166927485167,True
8,They live in the house white.,False,PRP VBP IN DT NN JJ . ,DT NN JJ,-5.46001213801411,-1.5292247390351863,True
9,Can you lend me a ball of tennis?,False,MD PRP VB PRP DT NN IN NN . ,NN IN NN,-1.867002897019336,-1.5270320671588085,True
10,The Club of Bridge of the University of Cambridge.,False,DT NNP IN NNP IN DT NNP IN NNP . ,NNP IN NNP,-1.2456582871571438,-1.2626531243295942,False
11,They gave to Sam the book.,False,PRP VBD IN NNP DT NN . ,IN NNP DT,-4.5881404131602785,-3.5076318171059424,True
12,They gave the book to Sam.,True,PRP VBD DT NN IN NNP . ,IN NNP .,-2.1485775743929443,-2.294107459015733,True
13,They took to the hospital her mother.,False,PRP VBD IN DT NN PRP$ NN . ,NN PRP$ NN,-0.7922380832041762,-0.6673661268997712,True
14,Mrs Smith speaks very well English.,False,NNP NNP VBZ RB RB NNP . ,RB RB NNP,-5.7207611138425625,-5.377073262679926,True
15,Keep tidy Britain.,False,VB JJ NNP . ,VB JJ NNP,-5.559572802672457,-5.540565287599983,True
16,John has bought the books?,True,NNP VBZ VBN DT NNS . ,NNP VBZ VBN,-1.4657940242479544,-1.643270632904405,True
17,Has bought the books John?,False,VBZ VBN DT NNS NNP .,VBZ VBN DT,-2.070118330607329,-1.2689815119382233,True
18,Mary came?,True,NNP VBD . ,NNP VBD .,-3.911388097637304,-5.613680331078658,True
19,When Mary came?,False,WRB NNP VBD . ,WRB NNP VBD,-2.164108295689112,-4.0342406381523945,False
20,Came Mary?,False,VBD NNP . ,VBD NNP .,-3.196985068534038,-2.47463393993228,True
21,"Mary, when came?",False,"NNP , WRB VBD . ",WRB VBD .,-6.700731109547808,-4.174387269895637,True
